"old_url","action","new_url","type","title","blocks","images","source_file"
"/","handcrafted","/","","","","","index.html"
"/products/epoxy-adhesive/stronghold-sh-ep5/","migrated","/products/epoxy-adhesive/stronghold-sh-ep5/","product","Stronghold SH-EP5 280ml.","5","1","products/epoxy-adhesive/stronghold-sh-ep5/index.html"
"/services/hilti-services/install-hilti-hvu/","migrated","/services/hilti-services/install-hilti-hvu/","service","บริการรับเจาะคอริ่งพื้นคอนกรีต Coring - งานด่วน งานไว คิดถึง SBCC","11","8","services/hilti-services/install-hilti-hvu/index.html"
"/services/hilti-services/install-hilti-re500v3/","migrated","/services/hilti-services/install-hilti-re500v3/","service","บริการรับเจาะคอริ่งพื้นคอนกรีต Coring - งานด่วน งานไว คิดถึง SBCC","5","8","services/hilti-services/install-hilti-re500v3/index.html"
"/services/hilti-services/","handcrafted","/services/hilti-services/","","","","","services/hilti-services/index.html"
"/products/epoxy-adhesive/epoxy-dispensers/","migrated","/products/epoxy-adhesive/epoxy-dispensers/","product","จำหน่ายปืนยิงอีพ็อกซี่เสียบเหล็ก (Epoxy Dispensers) มีของพร้อมส่งด่วนทั่วประเทศ","4","4","products/epoxy-adhesive/epoxy-dispensers/index.html"
"/products/epoxy-adhesive/","handcrafted","/products/epoxy-adhesive/","","","","","products/epoxy-adhesive/index.html"
"/products/constructions/annealing-wire-2/","migrated","/products/constructions/annealing-wire-2/","product","ลวดผูกเหล็ก สำหรับงานเทพื้นคอนกรีต","5","1","products/constructions/annealing-wire-2/index.html"
"/products/constructions/polymer-cp-bond/","migrated","/products/constructions/polymer-cp-bond/","product","น้ำยาประสานคอนกรีต","7","1","products/constructions/polymer-cp-bond/index.html"
"/products/constructions/concrete-curing-compound/","migrated","/products/constructions/concrete-curing-compound/","product","น้ำยาบ่มคอนกรีตชนิดสลายตัวได้","5","1","products/constructions/concrete-curing-compound/index.html"
"/products/constructions/non-shrink-grout-2/","migrated","/products/constructions/non-shrink-grout-2/","product","ซีเมนต์ไม่หดตัว","4","1","products/constructions/non-shrink-grout-2/index.html"
"/products/constructions/pvc-water-stop-2/","migrated","/products/constructions/pvc-water-stop-2/","product","แผ่นกั้นน้ำในคอนกรีต","2","1","products/constructions/pvc-water-stop-2/index.html"
"/products/constructions/elongation-2/","migrated","/products/constructions/elongation-2/","product","ซีเมนต์ทากันซึม ชนิดยึดหยุ่นสูง","7","1","products/constructions/elongation-2/index.html"
"/products/constructions/waterstop-2/","migrated","/products/constructions/waterstop-2/","product","ยางบวมน้ำ","2","1","products/constructions/waterstop-2/index.html"
"/products/hanging-support/pipe-hanger-2/","migrated","/products/hanging-support/pipe-hanger-2/","product","Pipe Hanger","2","1","products/hanging-support/pipe-hanger-2/index.html"
